"","plate","well","rsq_x","row","column","media","edge","strain","starve","rep","y0","y0_lm","mumax","lag"
"1",1,"A2",0.997645610887858,"A",2,"succ",1,"kb","0","a",0.02,0.00416970354549565,0.269086917296419,5.82669476550799
"2",1,"A4",0.991169442900303,"A",4,"succ",1,"kb","2","a",0.019,0.00465547419733366,0.233636812539265,6.01957880676002
"3",1,"A6",0.992020688399167,"A",6,"succ",1,"kb","4","a",0.012,0.000987171471183866,0.272008630498907,9.18286368404906
"4",1,"A7",0.996784339073833,"A",7,"succ",1,"kb","6","a",0.016,0.000465296592893379,0.254731326356463,13.8878441665809
"5",1,"B2",0.996322824435614,"B",2,"succ",0,"kb","0","b",0.017,0.0050573165283188,0.254368842584003,4.76621790423539
"6",1,"B4",0.995501176556646,"B",4,"succ",0,"kb","2","b",0.023,0.00388665267232672,0.236644046612657,7.51316565843558
"7",1,"B6",0.991162660613892,"B",6,"succ",0,"kb","4","b",0.013,0.0011971709062608,0.254051487442684,9.38781420354655
"8",1,"B7",0.997725588095798,"B",7,"succ",0,"kb","6","b",0.012,0.000367290474836618,0.253208436135939,13.7693236545013
"9",1,"C2",0.997874642428381,"C",2,"succ",0,"kb","0","c",0.016,0.00452815804537806,0.260129018151614,4.85249007166796
"10",1,"C4",0.997403793152489,"C",4,"succ",0,"kb","2","c",0.016,0.00332777390080939,0.243639435661862,6.44511893479673
"11",1,"C6",0.997046865322368,"C",6,"succ",0,"kb","4","c",0.017,0.00125860839977986,0.250335404043642,10.3988754127904
"12",1,"C7",0.998190196750064,"C",7,"succ",0,"kb","6","c",0.013,0.000364087210355068,0.253413374088169,14.1086129391588
"13",1,"D2",0.997935912274637,"D",2,"succ",0,"wt","0","a",0.028,0.00683651462256212,0.231664802758938,6.08606249082071
"14",1,"D4",0.991485268920079,"D",4,"succ",0,"wt","2","a",0.033,0.00668234335151711,0.225531736658001,7.08121552192324
"15",1,"D6",0.996078357882519,"D",6,"succ",0,"wt","4","a",0.018,0.00498952684627355,0.230394442829523,5.56884383693185
"16",1,"D7",0.995643514230181,"D",7,"succ",0,"wt","6","a",0.02,0.00438247693565836,0.224850767920739,6.75167006375204
"17",1,"E2",0.998307199824574,"E",2,"succ",0,"wt","0","b",0.029,0.00684711137051958,0.240300116572987,6.00694242255091
"18",1,"E4",0.99696739067699,"E",4,"succ",0,"wt","2","b",0.029,0.00701710089396924,0.223970776950463,6.33540542491657
"19",1,"E6",0.996697080650864,"E",6,"succ",0,"wt","4","b",0.016,0.00490273341065274,0.233861903438019,5.05766786449783
"20",1,"E7",0.997470184292575,"E",7,"succ",0,"wt","6","b",0.016,0.00454023449439214,0.226648562341346,5.55754710182616
"21",1,"F2",0.997676039984366,"F",2,"succ",1,"wt","0","c",0.025,0.00601000404894429,0.248420041355244,5.73806523356016
"22",1,"F4",0.997644337392266,"F",4,"succ",1,"wt","2","c",0.02,0.00549800682892338,0.236505764238512,5.46010642021948
"23",1,"F6",0.996038479509175,"F",6,"succ",1,"wt","4","c",0.019,0.00507783136976021,0.237619028207969,5.55323668474713
"24",1,"F7",0.996768793918247,"F",7,"succ",1,"wt","6","c",0.017,0.00355191489351758,0.237718919215557,6.58646137437602
"25",2,"A2",0.994791338768077,"A",2,"succ",1,"kb","8","a",0.015,0.000339393777395589,0.235744231488335,16.0709954074605
"26",2,"A3",0.997743955639629,"A",3,"succ",1,"kb","10","a",0.013,0.000211034239351666,0.251347309009408,16.394383773447
"27",2,"A4",0.996004911429636,"A",4,"succ",1,"kb","12","a",0.017,0.000174062463988816,0.241215860412032,18.9935868726763
"28",2,"A5",0.998401428033481,"A",5,"succ",1,"kb","16","a",0.018,7.20176043981131e-05,0.250931215655319,22.0029079594605
"29",2,"A6",0.995954884998697,"A",6,"succ",1,"kb","16","a",0.016,9.128476717677e-05,0.245527393528586,21.0418886337722
"30",2,"A7",0.996670797078662,"A",7,"succ",1,"kb","0","a",0.015,0.00445931283503824,0.265979409451834,4.56071213295077
"31",2,"B2",0.997774359537278,"B",2,"succ",0,"kb","8","b",0.016,0.000301554654753814,0.241366152314304,16.453809646763
"32",2,"B3",0.996575085537769,"B",3,"succ",0,"kb","10","b",0.018,0.000276583673378447,0.238662410598482,17.4958998990543
"33",2,"B4",0.997759813104977,"B",4,"succ",0,"kb","12","b",0.013,0.00010326510854664,0.25007376947961,19.3359147407598
"34",2,"B5",0.994966252829664,"B",5,"succ",0,"kb","16","b",0.019,0.000104312270243366,0.241778889062018,21.5271286897756
"35",2,"B6",0.99809671886528,"B",6,"succ",0,"kb","16","b",0.025,8.62700938318865e-05,0.248697685770128,22.7953391908469
"36",2,"B7",0.995805188082937,"B",7,"succ",0,"kb","0","b",0.015,0.00465115823264751,0.261137919717014,4.48396744332612
"37",2,"C2",0.998114849250734,"C",2,"succ",0,"kb","8","c",0.017,0.000240980339827953,0.246408549222443,17.2731558372612
"38",2,"C3",0.996440020218872,"C",3,"succ",0,"kb","10","c",0.016,0.000173848474541375,0.243534996717027,18.5688298533492
"39",2,"C4",0.997135622764386,"C",4,"succ",0,"kb","12","c",0.014,0.000109189886081386,0.246049927046003,19.7265824304462
"40",2,"C5",0.996096028544741,"C",5,"succ",0,"kb","16","c",0.027,8.94253696810976e-05,0.237729536196374,24.0196814297144
"41",2,"C6",0.99767459571919,"C",6,"succ",0,"kb","16","c",0.02,6.03214844554675e-05,0.250174098727947,23.1990411836268
"42",2,"C7",0.996817967703167,"C",7,"succ",0,"kb","0","c",0.018,0.00431836349522667,0.262324250202754,5.44172049231754
"43",2,"D2",0.998208875792298,"D",2,"succ",0,"wt","8","a",0.019,0.00349073539540521,0.229804723124883,7.37289698442283
"44",2,"D3",0.998473003980744,"D",3,"succ",0,"wt","10","a",0.023,0.00296132931307667,0.222752640430314,9.20238679186643
"45",2,"D4",0.997906774865611,"D",4,"succ",0,"wt","12","a",0.019,0.00173373772681586,0.228415346882133,10.4816046653884
"46",2,"D5",0.996677289256734,"D",5,"succ",0,"wt","16","a",0.022,0.00122925824677987,0.22662044030591,12.7289114494139
"47",2,"D6",0.997029854418459,"D",6,"succ",0,"wt","16","a",0.026,0.0011956063674522,0.226831922721173,13.5758804313247
"48",2,"D7",0.99727051762824,"D",7,"succ",0,"wt","0","a",0.02,0.00741737651531425,0.227130579825317,4.36712154313437
"49",2,"E2",0.998272377976986,"E",2,"succ",0,"wt","8","b",0.018,0.00336842410697328,0.2335350917208,7.17633797386341
"50",2,"E3",0.997103289660359,"E",3,"succ",0,"wt","10","b",0.016,0.00283488936537135,0.228637279855635,7.56913225819794
"51",2,"E4",0.997036262195742,"E",4,"succ",0,"wt","12","b",0.019,0.00195430311646286,0.229397940105988,9.91467190330197
"52",2,"E5",0.997375415464175,"E",5,"succ",0,"wt","16","b",0.028,0.00119164092721718,0.225682621889193,13.9881094788886
"53",2,"E6",0.998459034950043,"E",6,"succ",0,"wt","16","b",0.033,0.00105460593575504,0.229728470577784,14.9887402996491
"54",2,"E7",0.99788612245025,"E",7,"succ",0,"wt","0","b",0.017,0.00696242250179299,0.236494841848928,3.77465259997818
"55",2,"F2",0.998145813333621,"F",2,"succ",1,"wt","8","c",0.023,0.00275408390778417,0.243061232594835,8.73199450946465
"56",2,"F3",0.998199370253212,"F",3,"succ",1,"wt","10","c",0.014,0.0021145126628654,0.240150918459949,7.87102116968119
"57",2,"F4",0.997731321193901,"F",4,"succ",1,"wt","12","c",0.017,0.00182044028018365,0.231465077706512,9.65214702006805
"58",2,"F5",0.996575055492236,"F",5,"succ",1,"wt","16","c",0.025,0.00100566590057488,0.223864869582304,14.353417403678
"59",2,"F6",0.99419713385189,"F",6,"succ",1,"wt","16","c",0.023,0.00102541532552502,0.223717195857673,13.9032517274756
"60",2,"F7",0.99777378109719,"F",7,"succ",1,"wt","0","c",0.017,0.00604524411211261,0.242294076155127,4.26729986439851
"61",5,"A3",0.996920334647152,"A",3,"succ",1,"kb","18","a",0.025,5.51830075861013e-05,0.255130634346824,23.9719391095498
"62",5,"A4",0.987498591772877,"A",4,"succ",1,"kb","20","a",0.026,2.14344226430955e-05,0.271766642533519,26.1284960742828
"63",5,"B3",0.997665436672954,"B",3,"succ",0,"kb","18","b",0.028,2.87502221468403e-05,0.264730187090214,25.9936895400305
"64",5,"B4",0.995537373960511,"B",4,"succ",0,"kb","20","b",0.023,2.33946371718207e-05,0.264908212106432,26.0118122602273
"65",5,"C3",0.997739922305589,"C",3,"succ",0,"kb","18","c",0.029,2.43635944444552e-05,0.266211399539613,26.6027718349724
"66",5,"C4",0.995669986754701,"C",4,"succ",0,"kb","20","c",0.023,1.78551726661281e-05,0.271791695719472,26.3472223626698
"67",5,"D3",0.994862364351357,"D",3,"succ",0,"wt","18","a",0.018,0.000447354923228134,0.244319569974601,15.1227130352812
"68",5,"D4",0.988938741361083,"D",4,"succ",0,"wt","20","a",0.015,0.000218957428869882,0.252323713594272,16.7520051828444
"69",5,"E3",0.997786538083682,"E",3,"succ",0,"wt","18","b",0.017,0.000389151692385533,0.242274087209151,15.589778685053
"70",5,"E4",0.996239208893249,"E",4,"succ",0,"wt","20","b",0.019,0.000240412893019562,0.249910551622704,17.4856019364637
"71",5,"F3",0.996445074880621,"F",3,"succ",1,"wt","18","c",0.02,0.000467338533283966,0.23678827800052,15.8641030651336
"72",5,"F4",0.997507269207705,"F",4,"succ",1,"wt","20","c",0.02,0.000265877423004218,0.243727095823296,17.7265976568671
